,killWeight,collectWeight,jumpWeight,timeWeight,winWeight,loseWeight,total_kill,hurts,coins,jumps,target,silhouette
156,1,0,-1,-3,-10,10,0.014925373134328358,0.0,0.4545454545454546,0.475,6,0.8195585234844011
157,1,0,-1,-1,-10,10,0.029850746268656716,0.0,0.29090909090909095,0.3583333333333333,3,0.7611738049718746
158,1,0,-1,0,-10,10,0.38805970149253727,0.9538461538461539,0.4,0.3666666666666666,2,0.5853433073623764
159,1,0,0,-3,-10,10,0.05970149253731343,0.18461538461538463,0.12727272727272726,0.30833333333333324,3,0.790849911618385
160,1,0,0,-1,-10,10,0.05970149253731343,0.18461538461538463,0.12727272727272726,0.30833333333333324,3,0.790849911618385
161,1,0,0,0,-10,10,0.014925373134328358,0.03076923076923077,0.09090909090909091,0.1416666666666666,3,0.800593741208737
162,1,1,-3,-3,-10,10,0.05970149253731343,0.0,0.018181818181818184,0.3583333333333333,3,0.8573441759124514
163,1,1,-3,-1,-10,10,0.07462686567164178,0.0,0.0,0.3416666666666667,3,0.8572290606217459
164,1,1,-3,0,-10,10,0.2835820895522388,0.676923076923077,0.07272727272727274,0.20833333333333337,2,0.6978108974139716
165,1,1,-1,-3,-10,10,0.04477611940298507,0.0,0.018181818181818184,0.4833333333333333,3,0.8059018825332896
166,1,1,-1,-1,-10,10,0.04477611940298507,0.0,0.0,0.33333333333333337,3,0.8570080763969121
167,1,1,-1,0,-10,10,0.3283582089552239,0.5692307692307693,0.10909090909090909,0.19166666666666676,2,0.7252265119075254
168,1,1,0,-3,-10,10,0.04477611940298507,0.0,0.018181818181818184,0.30833333333333324,3,0.8615048194921366
169,1,1,0,-1,-10,10,0.04477611940298507,0.0,0.018181818181818184,0.30833333333333324,3,0.8615048194921366
170,1,1,0,0,-10,10,0.0,0.3230769230769231,0.0,0.1166666666666667,3,0.6652009488587304
171,1,3,-3,-3,-10,10,0.05970149253731343,0.0,0.018181818181818184,0.3583333333333333,3,0.8573441759124514
172,1,3,-3,-1,-10,10,0.08955223880597014,0.0,0.018181818181818184,0.31666666666666676,3,0.8596319364986341
173,1,3,-3,0,-10,10,0.3731343283582089,0.6461538461538462,0.10909090909090909,0.21666666666666667,2,0.7323561308490381
174,1,3,-1,-3,-10,10,0.04477611940298507,0.0,0.018181818181818184,0.525,3,0.7829152535288793
175,1,3,-1,-1,-10,10,0.04477611940298507,0.0,0.0,0.3749999999999999,3,0.8480335487660203
176,1,3,-1,0,-10,10,0.2835820895522388,0.4153846153846154,0.07272727272727274,0.20000000000000007,2,0.6563944269698847
177,1,3,0,-3,-10,10,0.05970149253731343,0.0,0.0,0.9999999999999999,5,0.7472278470047206
178,1,3,0,-1,-10,10,0.05970149253731343,0.0,0.03636363636363637,0.9916666666666666,5,0.7459354907752088
179,1,3,0,0,-10,10,0.029850746268656716,0.0,0.0,0.09166666666666667,3,0.78059659303159
180,3,-3,-3,-3,-10,10,0.05970149253731343,0.0,0.6181818181818182,0.5416666666666666,6,0.8502976322561865
181,3,-3,-3,-1,-10,10,0.08955223880597014,0.0,0.43636363636363634,0.4083333333333333,6,0.8071136451230008
182,3,-3,-3,0,-10,10,0.40298507462686567,0.36923076923076925,0.9818181818181819,0.3583333333333333,4,0.7254571568846954
183,3,-3,-1,-3,-10,10,0.029850746268656716,0.0,0.6545454545454545,0.6,6,0.8180036728849808
184,3,-3,-1,-1,-10,10,0.07462686567164178,0.0,0.6181818181818182,0.525,6,0.8545931097808701
185,3,-3,-1,0,-10,10,0.26865671641791045,1.0,0.9818181818181819,0.45000000000000007,4,0.6354787851633934
186,3,-3,0,-3,-10,10,0.04477611940298507,0.0,0.5818181818181819,0.42499999999999993,6,0.8698319832660447
187,3,-3,0,-1,-10,10,0.04477611940298507,0.0,0.5818181818181819,0.42499999999999993,6,0.8698319832660447
188,3,-3,0,0,-10,10,0.014925373134328358,0.5384615384615385,0.7818181818181819,0.33333333333333337,6,0.63673745729573
189,3,-1,-3,-3,-10,10,0.08955223880597014,0.0,0.5636363636363637,0.525,6,0.8505460057095141
190,3,-1,-3,-1,-10,10,0.08955223880597014,0.0,0.43636363636363634,0.3916666666666665,6,0.8038761328583056
191,3,-1,-3,0,-10,10,0.3432835820895522,0.7692307692307693,0.890909090909091,0.3416666666666667,4,0.7307528381928504
192,3,-1,-1,-3,-10,10,0.029850746268656716,0.0,0.6909090909090909,0.5916666666666667,6,0.8144313012626744
193,3,-1,-1,-1,-10,10,0.05970149253731343,0.0,0.6727272727272727,0.5333333333333333,6,0.841917360501364
194,3,-1,-1,0,-10,10,0.26865671641791045,0.9538461538461539,0.7636363636363637,0.33333333333333337,4,0.6242840582625424
195,3,-1,0,-3,-10,10,0.04477611940298507,0.0,0.5818181818181819,0.42499999999999993,6,0.8698319832660447
196,3,-1,0,-1,-10,10,0.04477611940298507,0.0,0.5818181818181819,0.42499999999999993,6,0.8698319832660447
197,3,-1,0,0,-10,10,0.029850746268656716,0.4307692307692308,0.7636363636363637,0.31666666666666676,6,0.6826292799591249
